date,AAPL,AMZN,BND,GLD,JNJ,JPM,MSFT,VTI,PORTFOLIO,SPY
2024-12-24,0.493569,0.265749,0.041182,0.116847,0.017121,0.268345,0.098317,0.187073,0.203047,0.190304
2024-12-26,0.498312,0.254697,0.041907,0.124387,0.015238,0.272690,0.095268,0.187752,0.204080,0.190384
2024-12-27,0.478472,0.236461,0.039733,0.116662,0.011542,0.262378,0.076318,0.174887,0.191847,0.177853
2024-12-30,0.458862,0.222922,0.043791,0.113100,-0.000384,0.252694,0.062068,0.161903,0.180786,0.164412
2024-12-31,0.448565,0.212367,0.042052,0.120039,0.008543,0.254736,0.053743,0.157867,0.178476,0.160176
2025-01-02,0.410561,0.216954,0.042487,0.135258,0.004359,0.256254,0.046443,0.155670,0.173500,0.157325
2025-01-03,0.407726,0.238893,0.041182,0.126330,0.005544,0.273423,0.058368,0.170852,0.181141,0.171796
2025-01-06,0.417213,0.257792,0.040168,0.124942,0.001848,0.267214,0.069618,0.177404,0.185156,0.178546
2025-01-07,0.401074,0.227398,0.036546,0.131280,0.019771,0.279421,0.055918,0.164260,0.180234,0.165224
2025-01-08,0.403909,0.227509,0.037705,0.137293,-0.007845,0.279210,0.061393,0.165338,0.179549,0.166926
2025-01-10,0.370069,0.209881,0.032343,0.148164,-0.009310,0.262058,0.047368,0.147839,0.166021,0.149110
2025-01-13,0.355897,0.207228,0.031329,0.136738,0.007497,0.284893,0.042968,0.149717,0.167368,0.150892
2025-01-14,0.349418,0.203360,0.032053,0.142705,0.009449,0.302045,0.039168,0.152314,0.169429,0.152475
2025-01-15,0.375969,0.234251,0.040313,0.151263,0.010984,0.327720,0.065768,0.173449,0.188947,0.173439
2025-01-16,0.320380,0.219385,0.042342,0.159219,0.030510,0.337823,0.061443,0.172570,0.184327,0.171182
2025-01-17,0.330329,0.248563,0.042632,0.153067,0.025350,0.363551,0.072568,0.183397,0.193541,0.182941
2025-01-21,0.287871,0.274923,0.045675,0.170922,0.033160,0.383913,0.071243,0.195143,0.196841,0.193769
2025-01-22,0.294754,0.298685,0.043501,0.176936,0.013076,0.382913,0.115492,0.200976,0.205636,0.200480
2025-01-23,0.293771,0.300950,0.041907,0.175271,0.022630,0.399276,0.116767,0.207288,0.210057,0.207032
2025-01-24,0.288681,0.297801,0.043936,0.182579,0.023885,0.393436,0.110143,0.203773,0.207629,0.203508
2025-01-27,0.329635,0.300950,0.049442,0.170275,0.066216,0.398750,0.086393,0.186993,0.210372,0.186484
2025-01-28,0.378225,0.316037,0.048863,0.180405,0.048712,0.405537,0.117992,0.197181,0.225483,0.196679
2025-01-29,0.384588,0.310069,0.048283,0.175872,0.054081,0.402590,0.105817,0.192067,0.222585,0.191314
2025-01-30,0.374350,0.296640,0.049732,0.193681,0.066076,0.411272,0.037468,0.199538,0.215630,0.197708
2025-01-31,0.365152,0.313439,0.048283,0.196040,0.061055,0.406379,0.037643,0.192986,0.212479,0.191334
2025-02-03,0.318934,0.312003,0.049228,0.202424,0.059102,0.403801,0.027293,0.184276,0.202368,0.183317
2025-02-04,0.346642,0.337644,0.050682,0.214266,0.070400,0.409746,0.030918,0.192866,0.213208,0.191255
2025-02-05,0.344733,0.305095,0.056061,0.221806,0.078768,0.422847,0.033218,0.198379,0.217089,0.196085
2025-02-06,0.349071,0.319794,0.054898,0.218568,0.070539,0.456888,0.039543,0.201336,0.222995,0.200242
2025-02-07,0.316736,0.266302,0.051700,0.220742,0.067820,0.451101,0.024368,0.190588,0.209931,0.189255
2025-02-10,0.318299,0.288351,0.051990,0.241419,0.075630,0.426056,0.030543,0.198219,0.213863,0.197332
2025-02-11,0.347080,0.286251,0.050246,0.236886,0.088811,0.446839,0.028593,0.197580,0.220650,0.198243
2025-02-12,0.371691,0.265086,0.044867,0.238181,0.082743,0.449259,0.022593,0.193625,0.220454,0.194382
2025-02-13,0.398677,0.273044,0.051118,0.250393,0.096621,0.453837,0.026343,0.206090,0.231972,0.206992
2025-02-14,0.416455,0.263705,0.054462,0.231798,0.088950,0.455258,0.021068,0.205930,0.230971,0.206933
2025-02-18,0.415702,0.252487,0.050537,0.252197,0.089513,0.472936,0.024093,0.209326,0.235515,0.210476
2025-02-19,0.418019,0.252376,0.051990,0.252891,0.109898,0.469253,0.036918,0.211044,0.240393,0.213327
2025-02-20,0.423578,0.231653,0.053299,0.253539,0.122481,0.403748,0.042404,0.204532,0.233200,0.208279
2025-02-21,0.421956,0.196839,0.057951,0.252382,0.140899,0.390279,0.022564,0.182278,0.223016,0.187612
2025-02-24,0.430932,0.175453,0.059405,0.259182,0.151021,0.375021,0.012018,0.176245,0.219743,0.182208
2025-02-25,0.430585,0.175950,0.066093,0.242576,0.167541,0.354291,-0.003262,0.170412,0.213636,0.176329
2025-02-26,0.391902,0.184516,0.067692,0.244472,0.146382,0.361604,0.001322,0.170812,0.209141,0.176923
2025-02-27,0.374181,0.153515,0.066383,0.225507,0.150951,0.362972,-0.016714,0.152673,0.196364,0.158137
2025-02-28,0.400472,0.173077,0.070890,0.217828,0.160019,0.392436,-0.005542,0.170452,0.211475,0.176210
2025-03-03,0.378409,0.132958,0.073355,0.233879,0.175906,0.371232,-0.026834,0.149477,0.198312,0.155603
2025-03-04,0.366248,0.126216,0.070292,0.244611,0.162831,0.316671,-0.026534,0.135134,0.185546,0.141924
2025-03-05,0.365148,0.151415,0.066501,0.247201,0.160722,0.323406,0.004553,0.148039,0.195934,0.154197
2025-03-06,0.362773,0.109085,0.065626,0.240864,0.165713,0.297151,-0.005792,0.126704,0.182932,0.133709
2025-03-07,0.384431,0.101072,0.064460,0.241512,0.171758,0.274738,-0.014760,0.132018,0.182830,0.140064
2025-03-10,0.317315,0.075044,0.069417,0.230641,0.178858,0.221808,-0.047701,0.101174,0.152303,0.109697
2025-03-11,0.278863,0.086373,0.065335,0.245074,0.165924,0.205603,-0.046974,0.093464,0.143444,0.100472
2025-03-12,0.256510,0.099083,0.063148,0.250486,0.144765,0.199079,-0.039910,0.098857,0.141065,0.106312
2025-03-13,0.214237,0.071452,0.066355,0.272689,0.145749,0.184820,-0.051183,0.083435,0.128441,0.091564
2025-03-14,0.236300,0.093888,0.063731,0.273198,0.144484,0.222966,-0.026659,0.106648,0.147619,0.114112
2025-03-17,0.239253,0.081675,0.065189,0.280091,0.144695,0.230805,-0.026308,0.115797,0.151609,0.122703
2025-03-18,0.231667,0.065539,0.066355,0.295032,0.154606,0.236277,-0.039284,0.103771,0.147553,0.110568
2025-03-19,0.246434,0.080570,0.069563,0.300352,0.145749,0.258059,-0.028512,0.116317,0.158243,0.122663
2025-03-20,0.239832,0.077310,0.070001,0.298686,0.145960,0.257533,-0.030967,0.113640,0.155890,0.119417
2025-03-21,0.263981,0.084273,0.069126,0.288232,0.150248,0.271318,-0.019895,0.114079,0.162972,0.119786
2025-03-24,0.278226,0.123232,0.064460,0.282496,0.147858,0.305149,-0.015336,0.134695,0.176077,0.139840
2025-03-25,0.295715,0.136771,0.065772,0.288140,0.131901,0.321302,-0.010126,0.136612,0.181790,0.142580
2025-03-26,0.282859,0.111461,0.063439,0.287076,0.136822,0.320775,-0.023127,0.123308,0.173291,0.128939
2025-03-27,0.296294,0.112732,0.063002,0.304330,0.146733,0.305465,-0.021599,0.118557,0.174798,0.125941
2025-03-28,0.261838,0.064987,0.069126,0.313998,0.150810,0.277737,-0.051108,0.096265,0.155136,0.103267
2025-03-31,0.286333,0.051393,0.071021,0.332871,0.165783,0.290627,-0.059650,0.101918,0.162642,0.110673
2025-04-01,0.292472,0.061947,0.074387,0.330234,0.077281,0.281999,-0.042616,0.105647,0.159008,0.113810
2025-04-02,0.296525,0.083167,0.073509,0.332963,0.092113,0.293363,-0.042741,0.114388,0.165842,0.120858
2025-04-03,0.176654,-0.014092,0.079068,0.324915,0.123465,0.203235,-0.065361,0.058297,0.117704,0.065621
2025-04-04,0.090890,-0.055040,0.079946,0.293922,0.077211,0.113187,-0.098602,-0.003807,0.062925,0.003237
2025-04-07,0.050817,-0.031499,0.066925,0.266121,0.058793,0.135209,-0.103562,-0.007055,0.054435,0.001450
2025-04-08,-0.001532,-0.056919,0.060781,0.273013,0.054435,0.148073,-0.111829,-0.022731,0.041004,-0.014236
2025-04-09,0.151521,0.056034,0.063268,0.320104,0.061254,0.240557,-0.021824,0.076419,0.128543,0.089289
2025-04-10,0.102704,0.001437,0.054783,0.352345,0.045226,0.202282,-0.044720,0.032116,0.098906,0.041557
2025-04-11,0.147467,0.021607,0.053612,0.378157,0.066596,0.250403,-0.026934,0.049396,0.124428,0.060142
2025-04-14,0.172774,0.006410,0.059611,0.370293,0.085084,0.242568,-0.028538,0.059059,0.130423,0.070426
2025-04-15,0.170573,-0.007571,0.062244,0.377463,0.079882,0.234151,-0.033748,0.057215,0.127257,0.067428
2025-04-16,0.124999,-0.036638,0.065170,0.422287,0.081921,0.215517,-0.069119,0.035244,0.108879,0.043701
2025-04-17,0.140692,-0.046143,0.062829,0.416042,0.106946,0.227957,-0.078713,0.037409,0.112933,0.045191
2025-04-21,0.118571,-0.075376,0.056977,0.459848,0.103079,0.212235,-0.100406,0.012751,0.098293,0.020312
2025-04-22,0.156675,-0.042993,0.058879,0.439125,0.108914,0.247174,-0.081117,0.038531,0.119659,0.046858
2025-04-23,0.184819,-0.001989,0.061073,0.404617,0.092254,0.275178,-0.062155,0.056212,0.133634,0.063080
2025-04-24,0.206651,0.030835,0.067072,0.425063,0.089091,0.295083,-0.029815,0.078464,0.154352,0.085457
2025-04-25,0.211920,0.044374,0.070583,0.409612,0.086630,0.289313,-0.018417,0.085079,0.157646,0.093299
2025-04-28,0.216901,0.037246,0.073216,0.429688,0.092043,0.287566,-0.020146,0.086643,0.160260,0.093716
2025-04-29,0.223097,0.035533,0.075996,0.415765,0.095980,0.294977,-0.012931,0.093178,0.164515,0.100606
2025-04-30,0.230567,0.019120,0.075264,0.405172,0.098791,0.294977,-0.009875,0.093820,0.164853,0.101043
2025-05-01,0.235316,0.051061,0.072270,0.375983,0.085787,0.306994,0.065625,0.100635,0.179653,0.108846
2025-05-02,0.189162,0.049845,0.066986,0.378388,0.097456,0.336746,0.090375,0.117795,0.185910,0.125306
2025-05-05,0.151753,0.029786,0.065519,0.419558,0.089583,0.337010,0.092604,0.111461,0.180412,0.118853
2025-05-06,0.149552,0.022381,0.067867,0.459340,0.085857,0.319488,0.085440,0.102440,0.177084,0.109501
2025-05-07,0.136465,0.042827,0.069922,0.437460,0.105751,0.320229,0.085540,0.107010,0.177797,0.114167
2025-05-08,0.143646,0.061450,0.064198,0.409150,0.094222,0.341828,0.097614,0.115710,0.182891,0.121930
2025-05-09,0.149668,0.066866,0.065079,0.419373,0.084100,0.339763,0.099017,0.114468,0.183682,0.120501
2025-05-12,0.222265,0.152962,0.061409,0.379360,0.083537,0.376661,0.125394,0.151754,0.214195,0.157530
2025-05-13,0.234674,0.168048,0.060969,0.385235,0.043469,0.392331,0.125094,0.159572,0.217074,0.165175
2025-05-14,0.231195,0.161859,0.057300,0.356092,0.028847,0.406254,0.134613,0.160334,0.215322,0.166664
2025-05-15,0.226092,0.133786,0.063024,0.377741,0.051693,0.416047,0.137173,0.165065,0.220912,0.172362
2025-05-16,0.224991,0.136107,0.063758,0.361088,0.063784,0.416418,0.140034,0.173044,0.223287,0.179788
2025-05-19,0.210610,0.139257,0.063464,0.378620,0.071939,0.402230,0.151578,0.173966,0.223871,0.181079
2025-05-20,0.199477,0.127708,0.061556,0.404293,0.080163,0.406465,0.149821,0.170117,0.223731,0.177108
2025-05-21,0.171818,0.111406,0.054952,0.414655,0.076789,0.381902,0.135767,0.149749,0.208109,0.157272
2025-05-22,0.167585,0.122347,0.057887,0.402119,0.072782,0.379943,0.141514,0.149549,0.207412,0.157729
2025-05-23,0.132273,0.110687,0.059502,0.432834,0.075102,0.380155,0.129769,0.142813,0.200652,0.149827
2025-05-27,0.160917,0.138484,0.064491,0.408548,0.086516,0.404401,0.156145,0.166308,0.219409,0.173732
2025-05-28,0.162135,0.131300,0.062143,0.405357,0.080703,0.394872,0.147788,0.159452,0.213983,0.166942
2025-05-29,0.159410,0.136715,0.065959,0.413683,0.088856,0.399530,0.151101,0.163181,0.217725,0.171548
2025-05-30,0.164628,0.132902,0.068014,0.404385,0.100413,0.397572,0.155317,0.162218,0.219164,0.170238
2025-06-02,0.169557,0.141965,0.065658,0.441715,0.101760,0.401066,0.159357,0.168152,0.225981,0.176830
2025-06-03,0.178661,0.136771,0.064480,0.428948,0.094812,0.409589,0.161867,0.176211,0.228827,0.183541
2025-06-04,0.176051,0.145170,0.071106,0.438153,0.086304,0.398736,0.164126,0.176091,0.228324,0.183223
2025-06-05,0.163353,0.148928,0.069045,0.430891,0.089423,0.386719,0.173687,0.169596,0.224331,0.177505
2025-06-06,0.182430,0.180206,0.063302,0.411694,0.099136,0.406730,0.180463,0.183227,0.234754,0.189597
2025-06-09,0.168107,0.199049,0.064921,0.418355,0.100554,0.412077,0.186411,0.184189,0.236008,0.190669
2025-06-10,0.175181,0.202531,0.066983,0.418771,0.109204,0.421923,0.181818,0.190444,0.240535,0.197419
2025-06-11,0.152625,0.178161,0.070370,0.426450,0.100767,0.419541,0.186085,0.187277,0.235427,0.194004
2025-06-12,0.155061,0.178382,0.074346,0.444167,0.110693,0.420018,0.201770,0.191085,0.242131,0.198750
2025-06-13,0.139115,0.172082,0.070517,0.463086,0.113812,0.402601,0.191957,0.177013,0.233515,0.185348
2025-06-16,0.150538,0.194187,0.068456,0.442224,0.100484,0.431240,0.202447,0.188640,0.241329,0.196625
2025-06-17,0.134418,0.187113,0.071842,0.442964,0.080348,0.426794,0.199687,0.178737,0.233189,0.186400
2025-06-18,0.139869,0.174403,0.072431,0.435193,0.068650,0.450298,0.205208,0.179178,0.235553,0.186221
2025-06-20,0.165498,0.158764,0.073168,0.434592,0.061986,0.455804,0.198080,0.176451,0.237340,0.183435
2025-06-23,0.168397,0.152023,0.075818,0.438986,0.072833,0.473115,0.219663,0.187758,0.247494,0.195125
2025-06-24,0.161439,0.175785,0.079058,0.416366,0.079001,0.488943,0.229977,0.201630,0.253529,0.208327
2025-06-25,0.168745,0.171474,0.079352,0.420668,0.079639,0.503766,0.235398,0.200227,0.257241,0.209004
2025-06-26,0.165498,0.199823,0.082445,0.419095,0.077725,0.528594,0.248398,0.210571,0.265522,0.218463
2025-06-27,0.165962,0.233974,0.079941,0.393376,0.080561,0.519912,0.244608,0.216063,0.264843,0.224517
2025-06-30,0.189678,0.212367,0.084211,0.410075,0.082972,0.534735,0.248298,0.222228,0.273816,0.230372
2025-07-01,0.205044,0.218280,0.083399,0.422657,0.105446,0.537382,0.234846,0.222228,0.278349,0.229974
2025-07-02,0.231833,0.215296,0.082217,0.430521,0.102894,0.545799,0.232437,0.228582,0.285121,0.235550
2025-07-03,0.238269,0.234582,0.079558,0.420761,0.106084,0.574523,0.251886,0.238716,0.295218,0.245287
2025-07-07,0.217394,0.234914,0.076013,0.421824,0.100838,0.553087,0.249075,0.228944,0.285646,0.236007
2025-07-08,0.217742,0.212202,0.075422,0.406976,0.104525,0.504202,0.246315,0.228864,0.277497,0.235331
2025-07-09,0.224295,0.229774,0.079706,0.413267,0.107999,0.506223,0.263606,0.236585,0.285505,0.242738
2025-07-10,0.231659,0.228227,0.079854,0.416412,0.117995,0.532979,0.258512,0.239882,0.291283,0.246243
2025-07-11,0.224411,0.243479,0.075422,0.430012,0.112394,0.525905,0.263129,0.234654,0.289523,0.241862
2025-07-14,0.209683,0.247182,0.075274,0.424785,0.111827,0.535692,0.262376,0.237469,0.288538,0.244232
2025-07-15,0.212524,0.250829,0.072025,0.418864,0.100129,0.524256,0.269403,0.230955,0.285156,0.238915
2025-07-16,0.218612,0.233366,0.074093,0.425941,0.168262,0.520373,0.268901,0.235620,0.294054,0.243057
2025-07-17,0.217801,0.237179,0.074388,0.422842,0.155501,0.542076,0.284160,0.243662,0.299509,0.250664
2025-07-18,0.224527,0.249613,0.076161,0.426543,0.160605,0.549363,0.280019,0.242979,0.302314,0.249748
2025-07-21,0.232065,0.267131,0.079263,0.448469,0.165285,0.547767,0.280044,0.244386,0.307254,0.252118
2025-07-22,0.243198,0.257018,0.081035,0.462207,0.190595,0.550214,0.268023,0.245834,0.311429,0.252297
2025-07-23,0.241748,0.261549,0.078820,0.444074,0.198890,0.578566,0.269529,0.256330,0.316736,0.262951
2025-07-24,0.239487,0.283322,0.077490,0.435239,0.202152,0.577449,0.282102,0.255888,0.318463,0.263369
2025-07-25,0.240183,0.278957,0.080149,0.421963,0.193218,0.588460,0.289204,0.261477,0.320378,0.268706
2025-07-28,0.241168,0.286417,0.078377,0.412758,0.178472,0.586652,0.286167,0.261115,0.317630,0.268387
2025-07-29,0.225049,0.276580,0.083990,0.416644,0.191871,0.580056,0.286343,0.257134,0.315076,0.265042
2025-07-30,0.212176,0.272049,0.081183,0.392173,0.185845,0.593833,0.288024,0.255686,0.311173,0.263449
2025-07-31,0.203594,0.293711,0.081331,0.401425,0.167979,0.575800,0.338869,0.250217,0.313917,0.258709
2025-08-01,0.173500,0.186726,0.090698,0.429873,0.186341,0.539256,0.315304,0.229507,0.296450,0.238079
2025-08-04,0.179125,0.169595,0.091439,0.438200,0.212644,0.565268,0.344239,0.248770,0.312182,0.256897
2025-08-05,0.176631,0.181200,0.091884,0.439356,0.210518,0.549895,0.324438,0.243260,0.306205,0.250525
2025-08-06,0.236530,0.228503,0.090994,0.436303,0.209454,0.549789,0.317387,0.251665,0.319433,0.260103
2025-08-07,0.275843,0.233035,0.090550,0.448423,0.216119,0.526330,0.307097,0.250941,0.323281,0.259048
2025-08-08,0.329886,0.230603,0.088178,0.448099,0.228880,0.536011,0.310109,0.258823,0.336464,0.268865
2025-08-11,0.318798,0.222922,0.088919,0.427283,0.232354,0.540267,0.309431,0.255928,0.332628,0.266356
2025-08-12,0.333136,0.223862,0.089068,0.425988,0.224981,0.557768,0.328178,0.271290,0.342959,0.279838
2025-08-13,0.354499,0.240937,0.093069,0.430336,0.236608,0.545427,0.306445,0.277442,0.345906,0.284219
2025-08-14,0.351306,0.276415,0.089957,0.421269,0.238735,0.564736,0.311213,0.275552,0.348830,0.284338
2025-08-15,0.344398,0.276691,0.088475,0.422102,0.252348,0.545214,0.305416,0.272657,0.345042,0.281331
2025-08-18,0.340334,0.279233,0.087289,0.419882,0.249583,0.550746,0.297711,0.273139,0.343578,0.281052
2025-08-19,0.338419,0.260002,0.089364,0.412110,0.260572,0.546118,0.279316,0.265418,0.337638,0.274103
2025-08-20,0.312006,0.236793,0.090105,0.426404,0.267945,0.554523,0.269152,0.262081,0.333179,0.270717
2025-08-21,0.305562,0.226514,0.087437,0.421454,0.268583,0.550427,0.267518,0.257737,0.329161,0.265619
2025-08-22,0.322165,0.264589,0.092921,0.436673,0.271136,0.575800,0.275034,0.279533,0.345573,0.285055
2025-08-25,0.318682,0.259615,0.091439,0.433204,0.264897,0.568672,0.267569,0.273381,0.340144,0.279400
2025-08-26,0.331162,0.263870,0.092773,0.443612,0.260469,0.588194,0.261988,0.279171,0.345922,0.284756
